C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I 1905.28] Elapsed: 31:45, vertices: 238, facets final: 101, pending: 193804, pool: 48
I 1923.86] Elapsed: 32:04, vertices: 239, facets final: 101, pending: 193740, pool: 50
I 1945.13] Elapsed: 32:25, vertices: 240, facets final: 101, pending: 192144, pool: 50
I 1960.62] Elapsed: 32:41, vertices: 241, facets final: 101, pending: 188372, pool: 50
I 1974.88] Elapsed: 32:55, vertices: 242, facets final: 101, pending: 187512, pool: 50
I 2007.67] Elapsed: 33:28, vertices: 243, facets final: 101, pending: 179763, pool: 50
I 2019.29] Elapsed: 33:39, vertices: 244, facets final: 101, pending: 177177, pool: 50
I 2042.52] Elapsed: 34:03, vertices: 245, facets final: 101, pending: 179965, pool: 50
I 2061.83] Elapsed: 34:22, vertices: 246, facets final: 101, pending: 166931, pool: 50
I 2090.33] Elapsed: 34:50, vertices: 247, facets final: 101, pending: 167136, pool: 50
I 2109.60] Elapsed: 35:10, vertices: 248, facets final: 101, pending: 179661, pool: 50
I 2123.32] Elapsed: 35:23, vertices: 249, facets final: 102, pending: 176576, pool: 50
I 2134.64] Elapsed: 35:35, vertices: 251, facets final: 103, pending: 173072, pool: 50
I 2162.52] Elapsed: 36:03, vertices: 253, facets final: 103, pending: 169896, pool: 50
I 2176.43] Elapsed: 36:16, vertices: 255, facets final: 103, pending: 178572, pool: 49
I 2186.78] Elapsed: 36:27, vertices: 256, facets final: 103, pending: 173764, pool: 50
I 2211.18] Elapsed: 36:51, vertices: 257, facets final: 103, pending: 177334, pool: 50
I 2245.79] Elapsed: 37:26, vertices: 258, facets final: 103, pending: 167382, pool: 50
I 2256.16] Elapsed: 37:36, vertices: 259, facets final: 103, pending: 166180, pool: 50
I 2269.32] Elapsed: 37:49, vertices: 260, facets final: 103, pending: 162904, pool: 50
I 2289.46] Elapsed: 38:09, vertices: 261, facets final: 103, pending: 170009, pool: 50
I 2305.84] Elapsed: 38:26, vertices: 263, facets final: 104, pending: 167640, pool: 50
I 2316.03] Elapsed: 38:36, vertices: 264, facets final: 105, pending: 167295, pool: 50
