C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I40933.58] Elapsed: 11:22:14, vertices: 860, facets final: 7039, pending: 1510669, pool: 50
I47065.71] Elapsed: 13:04:26, vertices: 861, facets final: 7039, pending: 1478128, pool: 50
I51682.43] Elapsed: 14:21:22, vertices: 862, facets final: 7039, pending: 1524992, pool: 50
I55805.08] Elapsed: 15:30:05, vertices: 863, facets final: 7039, pending: 1658006, pool: 50
I58413.74] Elapsed: 16:13:34, vertices: 864, facets final: 7039, pending: 1676102, pool: 50
I61592.06] Elapsed: 17:06:32, vertices: 865, facets final: 7039, pending: 1802525, pool: 50
I64949.60] Elapsed: 18:02:30, vertices: 866, facets final: 7039, pending: 1751671, pool: 49
I67226.03] Elapsed: 18:40:26, vertices: 867, facets final: 7040, pending: 1672435, pool: 49
I69780.72] Elapsed: 19:23:01, vertices: 868, facets final: 7041, pending: 1702707, pool: 50
I76177.31] Elapsed: 21:09:37, vertices: 869, facets final: 7041, pending: 1568898, pool: 50
I77863.85] Elapsed: 21:37:44, vertices: 870, facets final: 7041, pending: 1493925, pool: 49
I79507.86] Elapsed: 22:05:08, vertices: 871, facets final: 7041, pending: 1474769, pool: 48
I82193.25] Elapsed: 22:49:53, vertices: 872, facets final: 7041, pending: 1490433, pool: 50
I84255.70] Elapsed: 23:24:16, vertices: 873, facets final: 7041, pending: 1585993, pool: 50
I87840.78] Elapsed: 1d00:24:01, vertices: 874, facets final: 7041, pending: 1500119, pool: 50
I89182.46] Elapsed: 1d00:46:22, vertices: 875, facets final: 7041, pending: 1454594, pool: 50
I90545.41] Elapsed: 1d01:09:05, vertices: 876, facets final: 7041, pending: 1430441, pool: 50
I92358.68] Elapsed: 1d01:39:19, vertices: 877, facets final: 7041, pending: 1546283, pool: 50
I93837.60] Elapsed: 1d02:03:58, vertices: 878, facets final: 7041, pending: 1600499, pool: 50
I95427.18] Elapsed: 1d02:30:27, vertices: 879, facets final: 7041, pending: 1609229, pool: 49
I98586.16] Elapsed: 1d03:23:06, vertices: 880, facets final: 7042, pending: 1519538, pool: 49
I103258.57] Elapsed: 1d04:40:59, vertices: 881, facets final: 7042, pending: 1584745, pool: 50
I104772.36] Elapsed: 1d05:06:12, vertices: 882, facets final: 7042, pending: 1563639, pool: 50
I107407.50] Elapsed: 1d05:50:08, vertices: 883, facets final: 7042, pending: 1553887, pool: 50
I110312.85] Elapsed: 1d06:38:33, vertices: 884, facets final: 7042, pending: 1439085, pool: 50
I111828.90] Elapsed: 1d07:03:49, vertices: 885, facets final: 7042, pending: 1478240, pool: 50
I114210.33] Elapsed: 1d07:43:30, vertices: 886, facets final: 7042, pending: 1501921, pool: 50
I117367.45] Elapsed: 1d08:36:07, vertices: 887, facets final: 7042, pending: 1296035, pool: 50
I118867.22] Elapsed: 1d09:01:07, vertices: 888, facets final: 7042, pending: 1329549, pool: 50
I120616.59] Elapsed: 1d09:30:17, vertices: 889, facets final: 7042, pending: 1390183, pool: 50
I122799.14] Elapsed: 1d10:06:39, vertices: 890, facets final: 7042, pending: 1346581, pool: 50
I123819.55] Elapsed: 1d10:23:40, vertices: 891, facets final: 7042, pending: 1311732, pool: 50
I125229.49] Elapsed: 1d10:47:09, vertices: 892, facets final: 7042, pending: 1292879, pool: 50
I126188.30] Elapsed: 1d11:03:08, vertices: 893, facets final: 7042, pending: 1313156, pool: 50
I126797.73] Elapsed: 1d11:13:18, vertices: 894, facets final: 7042, pending: 1304367, pool: 50
I128091.39] Elapsed: 1d11:34:51, vertices: 895, facets final: 7042, pending: 1278509, pool: 50
I128794.06] Elapsed: 1d11:46:34, vertices: 896, facets final: 7042, pending: 1320773, pool: 49
I131472.74] Elapsed: 1d12:31:13, vertices: 897, facets final: 7042, pending: 1278718, pool: 50
I131919.53] Elapsed: 1d12:38:40, vertices: 898, facets final: 7042, pending: 1251970, pool: 49
I133353.96] Elapsed: 1d13:02:34, vertices: 899, facets final: 7042, pending: 1283204, pool: 49
I133355.35] recalculating facets...
I135255.08] Elapsed: 1d13:34:15, vertices: 900, facets final: 7042, pending: 1251116, pool: 50
I136221.49] Elapsed: 1d13:50:21, vertices: 901, facets final: 7042, pending: 1221159, pool: 50
I136646.11] Elapsed: 1d13:57:26, vertices: 902, facets final: 7042, pending: 1192654, pool: 50
I137984.11] Elapsed: 1d14:19:44, vertices: 903, facets final: 7042, pending: 1191730, pool: 50
I138388.21] Elapsed: 1d14:26:28, vertices: 904, facets final: 7042, pending: 1177783, pool: 49
I139154.60] Elapsed: 1d14:39:15, vertices: 905, facets final: 7043, pending: 1147812, pool: 50
I140483.47] Elapsed: 1d15:01:23, vertices: 906, facets final: 7043, pending: 1175092, pool: 50
I140941.63] Elapsed: 1d15:09:02, vertices: 907, facets final: 7043, pending: 1188325, pool: 49
I142158.08] Elapsed: 1d15:29:18, vertices: 908, facets final: 7043, pending: 1083451, pool: 50
I143093.86] Elapsed: 1d15:44:54, vertices: 909, facets final: 7043, pending: 1042463, pool: 50
I143559.67] Elapsed: 1d15:52:40, vertices: 910, facets final: 7043, pending: 1040075, pool: 50
I144191.39] Elapsed: 1d16:03:11, vertices: 911, facets final: 7043, pending: 1023723, pool: 50
I144636.79] Elapsed: 1d16:10:37, vertices: 912, facets final: 7043, pending: 1010936, pool: 50
I145704.26] Elapsed: 1d16:28:24, vertices: 913, facets final: 7043, pending: 1000146, pool: 50
I146215.58] Elapsed: 1d16:36:56, vertices: 914, facets final: 7043, pending: 1004501, pool: 50
I147083.13] Elapsed: 1d16:51:23, vertices: 915, facets final: 7043, pending: 961560, pool: 50
I147841.01] Elapsed: 1d17:04:01, vertices: 916, facets final: 7043, pending: 949234, pool: 50
I148310.86] Elapsed: 1d17:11:51, vertices: 917, facets final: 7043, pending: 981040, pool: 49
I148743.56] Elapsed: 1d17:19:04, vertices: 918, facets final: 7043, pending: 972289, pool: 50
I149609.02] Elapsed: 1d17:33:29, vertices: 919, facets final: 7043, pending: 950173, pool: 50
I149851.53] Elapsed: 1d17:37:32, vertices: 920, facets final: 7043, pending: 949514, pool: 50
I150129.94] Elapsed: 1d17:42:10, vertices: 921, facets final: 7043, pending: 963790, pool: 50
I150834.82] Elapsed: 1d17:53:55, vertices: 922, facets final: 7043, pending: 949590, pool: 50
I151258.26] Elapsed: 1d18:00:58, vertices: 923, facets final: 7043, pending: 949521, pool: 50
I151800.95] Elapsed: 1d18:10:01, vertices: 924, facets final: 7043, pending: 904599, pool: 50
I152043.45] Elapsed: 1d18:14:03, vertices: 925, facets final: 7043, pending: 891545, pool: 49
I152778.81] Elapsed: 1d18:26:19, vertices: 926, facets final: 7043, pending: 881119, pool: 50
I153213.90] Elapsed: 1d18:33:34, vertices: 927, facets final: 7043, pending: 859883, pool: 50
I153568.90] Elapsed: 1d18:39:29, vertices: 928, facets final: 7043, pending: 862901, pool: 50
I153964.31] Elapsed: 1d18:46:04, vertices: 929, facets final: 7043, pending: 899529, pool: 50
I154582.40] Elapsed: 1d18:56:22, vertices: 930, facets final: 7043, pending: 830041, pool: 50
I155177.29] Elapsed: 1d19:06:17, vertices: 931, facets final: 7043, pending: 843288, pool: 50
I155516.04] Elapsed: 1d19:11:56, vertices: 932, facets final: 7043, pending: 840122, pool: 50
I156144.48] Elapsed: 1d19:22:24, vertices: 933, facets final: 7044, pending: 871938, pool: 50
I156564.18] Elapsed: 1d19:29:24, vertices: 934, facets final: 7044, pending: 879084, pool: 50
I156823.76] Elapsed: 1d19:33:44, vertices: 935, facets final: 7044, pending: 856606, pool: 50
I157113.72] Elapsed: 1d19:38:34, vertices: 936, facets final: 7044, pending: 873344, pool: 50
I157375.14] Elapsed: 1d19:42:55, vertices: 937, facets final: 7044, pending: 861628, pool: 50
I157744.44] Elapsed: 1d19:49:04, vertices: 938, facets final: 7044, pending: 838352, pool: 50
I157998.30] Elapsed: 1d19:53:18, vertices: 939, facets final: 7044, pending: 820980, pool: 49
I158828.26] Elapsed: 1d20:07:08, vertices: 940, facets final: 7045, pending: 815070, pool: 50
I159167.93] Elapsed: 1d20:12:48, vertices: 941, facets final: 7045, pending: 793160, pool: 50
I159388.75] Elapsed: 1d20:16:29, vertices: 942, facets final: 7045, pending: 778296, pool: 50
I159542.51] Elapsed: 1d20:19:03, vertices: 943, facets final: 7046, pending: 787410, pool: 50
I160076.16] Elapsed: 1d20:27:56, vertices: 944, facets final: 7046, pending: 763655, pool: 50
I160202.67] Elapsed: 1d20:30:03, vertices: 945, facets final: 7046, pending: 753973, pool: 50
I160327.69] Elapsed: 1d20:32:08, vertices: 946, facets final: 7046, pending: 746041, pool: 49
I160540.90] Elapsed: 1d20:35:41, vertices: 947, facets final: 7047, pending: 742494, pool: 50
I160667.93] Elapsed: 1d20:37:48, vertices: 948, facets final: 7049, pending: 741188, pool: 50
I160776.29] Elapsed: 1d20:39:36, vertices: 949, facets final: 7049, pending: 738864, pool: 50
I160871.26] Elapsed: 1d20:41:11, vertices: 950, facets final: 7049, pending: 733290, pool: 49
I161010.76] Elapsed: 1d20:43:31, vertices: 951, facets final: 7049, pending: 739134, pool: 49
I161462.53] Elapsed: 1d20:51:03, vertices: 952, facets final: 7049, pending: 696966, pool: 49
I161788.54] Elapsed: 1d20:56:29, vertices: 953, facets final: 7050, pending: 675913, pool: 50
I161978.46] Elapsed: 1d20:59:38, vertices: 954, facets final: 7050, pending: 672293, pool: 50
I162240.65] Elapsed: 1d21:04:01, vertices: 955, facets final: 7050, pending: 677329, pool: 50
I162396.11] Elapsed: 1d21:06:36, vertices: 956, facets final: 7050, pending: 685583, pool: 50
I162634.77] Elapsed: 1d21:10:35, vertices: 957, facets final: 7050, pending: 709175, pool: 50
I162932.32] Elapsed: 1d21:15:32, vertices: 958, facets final: 7052, pending: 702685, pool: 50
I163165.74] Elapsed: 1d21:19:26, vertices: 959, facets final: 7052, pending: 672751, pool: 50
I163480.00] Elapsed: 1d21:24:40, vertices: 960, facets final: 7052, pending: 665911, pool: 50
I163627.11] Elapsed: 1d21:27:07, vertices: 961, facets final: 7053, pending: 655003, pool: 50
I163842.81] Elapsed: 1d21:30:43, vertices: 962, facets final: 7054, pending: 652866, pool: 50
I163920.58] Elapsed: 1d21:32:01, vertices: 963, facets final: 7054, pending: 652750, pool: 50
I164052.62] Elapsed: 1d21:34:13, vertices: 964, facets final: 7054, pending: 647056, pool: 50
I164136.00] Elapsed: 1d21:35:36, vertices: 965, facets final: 7054, pending: 645218, pool: 50
I164344.79] Elapsed: 1d21:39:05, vertices: 966, facets final: 7054, pending: 622080, pool: 50
I164439.88] Elapsed: 1d21:40:40, vertices: 967, facets final: 7054, pending: 632002, pool: 50
I164520.27] Elapsed: 1d21:42:00, vertices: 968, facets final: 7054, pending: 630456, pool: 50
I164629.99] Elapsed: 1d21:43:50, vertices: 969, facets final: 7054, pending: 617954, pool: 50
I164890.53] Elapsed: 1d21:48:11, vertices: 970, facets final: 7054, pending: 628915, pool: 50
I165101.90] Elapsed: 1d21:51:42, vertices: 971, facets final: 7054, pending: 611095, pool: 50
I165181.78] Elapsed: 1d21:53:02, vertices: 972, facets final: 7054, pending: 616915, pool: 49
I165329.22] Elapsed: 1d21:55:29, vertices: 973, facets final: 7055, pending: 601730, pool: 50
I165512.58] Elapsed: 1d21:58:33, vertices: 974, facets final: 7055, pending: 590326, pool: 50
I165655.66] Elapsed: 1d22:00:56, vertices: 975, facets final: 7055, pending: 597735, pool: 50
I165780.33] Elapsed: 1d22:03:00, vertices: 976, facets final: 7055, pending: 599932, pool: 50
I165839.03] Elapsed: 1d22:03:59, vertices: 977, facets final: 7055, pending: 593707, pool: 50
I165885.39] Elapsed: 1d22:04:45, vertices: 978, facets final: 7055, pending: 584793, pool: 50
I165974.80] Elapsed: 1d22:06:15, vertices: 979, facets final: 7055, pending: 576025, pool: 50
I166057.72] Elapsed: 1d22:07:38, vertices: 980, facets final: 7055, pending: 576367, pool: 50
I166182.77] Elapsed: 1d22:09:43, vertices: 981, facets final: 7055, pending: 563612, pool: 50
I166250.28] Elapsed: 1d22:10:50, vertices: 982, facets final: 7055, pending: 558222, pool: 50
I166385.38] Elapsed: 1d22:13:05, vertices: 983, facets final: 7055, pending: 567760, pool: 50
I166483.34] Elapsed: 1d22:14:43, vertices: 984, facets final: 7055, pending: 567578, pool: 50
I166532.05] Elapsed: 1d22:15:32, vertices: 985, facets final: 7056, pending: 560513, pool: 50
I166636.27] Elapsed: 1d22:17:16, vertices: 986, facets final: 7056, pending: 566298, pool: 50
I166724.19] Elapsed: 1d22:18:44, vertices: 987, facets final: 7057, pending: 559777, pool: 50
I166789.55] Elapsed: 1d22:19:50, vertices: 988, facets final: 7057, pending: 562999, pool: 50
I166855.87] Elapsed: 1d22:20:56, vertices: 989, facets final: 7057, pending: 555283, pool: 50
I166911.45] Elapsed: 1d22:21:51, vertices: 990, facets final: 7057, pending: 549317, pool: 50
I166977.17] Elapsed: 1d22:22:57, vertices: 991, facets final: 7058, pending: 548866, pool: 50
I167096.08] Elapsed: 1d22:24:56, vertices: 992, facets final: 7058, pending: 536291, pool: 50
I167133.40] Elapsed: 1d22:25:33, vertices: 993, facets final: 7058, pending: 532613, pool: 50
I167194.72] Elapsed: 1d22:26:35, vertices: 994, facets final: 7059, pending: 532971, pool: 50
I167236.13] Elapsed: 1d22:27:16, vertices: 995, facets final: 7059, pending: 531853, pool: 49
I167312.22] Elapsed: 1d22:28:32, vertices: 996, facets final: 7059, pending: 525183, pool: 50
I167545.75] Elapsed: 1d22:32:26, vertices: 997, facets final: 7059, pending: 514661, pool: 50
I167613.97] Elapsed: 1d22:33:34, vertices: 998, facets final: 7061, pending: 509029, pool: 50
I167648.24] Elapsed: 1d22:34:08, vertices: 999, facets final: 7061, pending: 506125, pool: 50
I167649.06] recalculating facets...
I167706.10] Elapsed: 1d22:35:06, vertices: 1000, facets final: 7061, pending: 509911, pool: 50
I167749.56] Elapsed: 1d22:35:50, vertices: 1001, facets final: 7062, pending: 510798, pool: 49
I167817.64] Elapsed: 1d22:36:58, vertices: 1002, facets final: 7065, pending: 502435, pool: 50
I167872.20] Elapsed: 1d22:37:52, vertices: 1003, facets final: 7065, pending: 503295, pool: 49
I167933.45] Elapsed: 1d22:38:53, vertices: 1004, facets final: 7065, pending: 494585, pool: 50
I168003.12] Elapsed: 1d22:40:03, vertices: 1005, facets final: 7065, pending: 494454, pool: 50
I168054.71] Elapsed: 1d22:40:55, vertices: 1006, facets final: 7066, pending: 488296, pool: 50
I168099.14] Elapsed: 1d22:41:39, vertices: 1007, facets final: 7067, pending: 484033, pool: 50
I168259.14] Elapsed: 1d22:44:19, vertices: 1008, facets final: 7067, pending: 489663, pool: 50
I168295.90] Elapsed: 1d22:44:56, vertices: 1009, facets final: 7067, pending: 487519, pool: 50
I168346.64] Elapsed: 1d22:45:47, vertices: 1010, facets final: 7067, pending: 482843, pool: 50
I168377.52] Elapsed: 1d22:46:18, vertices: 1011, facets final: 7067, pending: 479253, pool: 50
I168431.75] Elapsed: 1d22:47:12, vertices: 1012, facets final: 7069, pending: 482311, pool: 50
I168464.59] Elapsed: 1d22:47:45, vertices: 1013, facets final: 7069, pending: 482461, pool: 49
I168508.54] Elapsed: 1d22:48:29, vertices: 1014, facets final: 7069, pending: 481471, pool: 50
I168536.94] Elapsed: 1d22:48:57, vertices: 1015, facets final: 7069, pending: 478255, pool: 50
I168621.12] Elapsed: 1d22:50:21, vertices: 1016, facets final: 7069, pending: 476349, pool: 50
I168649.38] Elapsed: 1d22:50:49, vertices: 1017, facets final: 7069, pending: 472957, pool: 50
I168763.35] Elapsed: 1d22:52:43, vertices: 1018, facets final: 7070, pending: 454300, pool: 50
I168816.85] Elapsed: 1d22:53:37, vertices: 1019, facets final: 7070, pending: 454296, pool: 50
I168899.16] Elapsed: 1d22:54:59, vertices: 1020, facets final: 7071, pending: 451729, pool: 50
I168954.15] Elapsed: 1d22:55:54, vertices: 1021, facets final: 7071, pending: 458097, pool: 50
I169051.39] Elapsed: 1d22:57:31, vertices: 1022, facets final: 7071, pending: 440923, pool: 50
I169102.44] Elapsed: 1d22:58:22, vertices: 1023, facets final: 7073, pending: 443077, pool: 50
I169157.19] Elapsed: 1d22:59:17, vertices: 1024, facets final: 7073, pending: 438115, pool: 50
I169180.59] Elapsed: 1d22:59:41, vertices: 1025, facets final: 7073, pending: 435967, pool: 49
I169237.62] Elapsed: 1d23:00:38, vertices: 1026, facets final: 7078, pending: 428742, pool: 50
I169336.44] Elapsed: 1d23:02:16, vertices: 1027, facets final: 7078, pending: 430228, pool: 50
I169422.18] Elapsed: 1d23:03:42, vertices: 1028, facets final: 7078, pending: 437382, pool: 50
I169457.10] Elapsed: 1d23:04:17, vertices: 1029, facets final: 7078, pending: 433385, pool: 50
I169480.05] Elapsed: 1d23:04:40, vertices: 1030, facets final: 7078, pending: 434885, pool: 49
I169564.80] Elapsed: 1d23:06:05, vertices: 1031, facets final: 7079, pending: 433304, pool: 50
I169581.93] Elapsed: 1d23:06:22, vertices: 1032, facets final: 7079, pending: 430346, pool: 50
I169646.63] Elapsed: 1d23:07:27, vertices: 1033, facets final: 7080, pending: 425070, pool: 50
I169665.09] Elapsed: 1d23:07:45, vertices: 1034, facets final: 7081, pending: 424481, pool: 50
I169686.99] Elapsed: 1d23:08:07, vertices: 1035, facets final: 7081, pending: 423073, pool: 50
I169708.56] Elapsed: 1d23:08:29, vertices: 1036, facets final: 7081, pending: 421645, pool: 50
I169729.26] Elapsed: 1d23:08:49, vertices: 1037, facets final: 7081, pending: 415975, pool: 50
I169743.47] Elapsed: 1d23:09:03, vertices: 1038, facets final: 7081, pending: 413938, pool: 50
I169807.01] Elapsed: 1d23:10:07, vertices: 1039, facets final: 7082, pending: 402377, pool: 50
I169833.41] Elapsed: 1d23:10:33, vertices: 1040, facets final: 7082, pending: 398417, pool: 50
I169844.61] Elapsed: 1d23:10:45, vertices: 1041, facets final: 7082, pending: 395785, pool: 50
I169911.43] Elapsed: 1d23:11:51, vertices: 1042, facets final: 7086, pending: 396199, pool: 50
I169927.36] Elapsed: 1d23:12:07, vertices: 1043, facets final: 7086, pending: 395629, pool: 50
I169980.02] Elapsed: 1d23:13:00, vertices: 1044, facets final: 7086, pending: 382795, pool: 50
I170007.19] Elapsed: 1d23:13:27, vertices: 1045, facets final: 7086, pending: 383814, pool: 50
I170048.34] Elapsed: 1d23:14:08, vertices: 1046, facets final: 7086, pending: 372757, pool: 50
I170060.43] Elapsed: 1d23:14:20, vertices: 1047, facets final: 7087, pending: 375486, pool: 50
I170097.60] Elapsed: 1d23:14:58, vertices: 1048, facets final: 7088, pending: 366009, pool: 50
I170116.15] Elapsed: 1d23:15:16, vertices: 1049, facets final: 7090, pending: 361018, pool: 50
I170138.28] Elapsed: 1d23:15:38, vertices: 1051, facets final: 7091, pending: 354585, pool: 50
I170179.14] Elapsed: 1d23:16:19, vertices: 1052, facets final: 7091, pending: 343289, pool: 50
I170204.14] Elapsed: 1d23:16:44, vertices: 1053, facets final: 7092, pending: 339416, pool: 50
I170231.40] Elapsed: 1d23:17:11, vertices: 1054, facets final: 7092, pending: 332144, pool: 50
I170243.19] Elapsed: 1d23:17:23, vertices: 1055, facets final: 7093, pending: 332472, pool: 50
I170265.38] Elapsed: 1d23:17:45, vertices: 1056, facets final: 7093, pending: 327896, pool: 50
I170275.67] Elapsed: 1d23:17:56, vertices: 1057, facets final: 7093, pending: 327336, pool: 49
I170294.93] Elapsed: 1d23:18:15, vertices: 1058, facets final: 7096, pending: 320965, pool: 50
I170306.95] Elapsed: 1d23:18:27, vertices: 1059, facets final: 7098, pending: 320415, pool: 50
I170321.27] Elapsed: 1d23:18:41, vertices: 1060, facets final: 7098, pending: 319527, pool: 50
I170363.09] Elapsed: 1d23:19:23, vertices: 1062, facets final: 7099, pending: 306586, pool: 50
I170373.21] Elapsed: 1d23:19:33, vertices: 1063, facets final: 7099, pending: 304350, pool: 50
I170389.10] Elapsed: 1d23:19:49, vertices: 1065, facets final: 7099, pending: 303850, pool: 49
I170407.25] Elapsed: 1d23:20:07, vertices: 1066, facets final: 7104, pending: 303015, pool: 50
I170424.07] Elapsed: 1d23:20:24, vertices: 1068, facets final: 7108, pending: 304435, pool: 49
I170450.88] Elapsed: 1d23:20:51, vertices: 1070, facets final: 7120, pending: 296751, pool: 50
I170467.09] Elapsed: 1d23:21:07, vertices: 1072, facets final: 7120, pending: 293247, pool: 50
I170478.22] Elapsed: 1d23:21:18, vertices: 1073, facets final: 7120, pending: 297539, pool: 50
I170492.67] Elapsed: 1d23:21:33, vertices: 1075, facets final: 7120, pending: 296659, pool: 48
I170510.12] Elapsed: 1d23:21:50, vertices: 1076, facets final: 7122, pending: 299645, pool: 50
I170530.21] Elapsed: 1d23:22:10, vertices: 1077, facets final: 7122, pending: 296040, pool: 50
I170541.00] Elapsed: 1d23:22:21, vertices: 1078, facets final: 7126, pending: 295392, pool: 50
I170556.18] Elapsed: 1d23:22:36, vertices: 1079, facets final: 7126, pending: 289536, pool: 50
I170566.71] Elapsed: 1d23:22:47, vertices: 1080, facets final: 7126, pending: 288402, pool: 50
I170583.59] Elapsed: 1d23:23:04, vertices: 1081, facets final: 7126, pending: 289376, pool: 50
I170596.86] Elapsed: 1d23:23:17, vertices: 1082, facets final: 7126, pending: 286050, pool: 50
I170612.62] Elapsed: 1d23:23:33, vertices: 1084, facets final: 7126, pending: 283706, pool: 50
I170626.28] Elapsed: 1d23:23:46, vertices: 1086, facets final: 7127, pending: 281517, pool: 49
I170638.66] Elapsed: 1d23:23:59, vertices: 1088, facets final: 7130, pending: 279736, pool: 48
I170655.70] Elapsed: 1d23:24:16, vertices: 1090, facets final: 7131, pending: 275669, pool: 50
I170666.83] Elapsed: 1d23:24:27, vertices: 1092, facets final: 7135, pending: 276821, pool: 50
I170689.29] Elapsed: 1d23:24:49, vertices: 1093, facets final: 7135, pending: 271645, pool: 50
I170699.86] Elapsed: 1d23:25:00, vertices: 1095, facets final: 7137, pending: 269179, pool: 49
I170714.69] Elapsed: 1d23:25:15, vertices: 1096, facets final: 7137, pending: 269329, pool: 48
I170727.09] Elapsed: 1d23:25:27, vertices: 1097, facets final: 7142, pending: 264204, pool: 50
I170743.06] Elapsed: 1d23:25:43, vertices: 1099, facets final: 7142, pending: 259773, pool: 50
I170743.41] recalculating facets...
I170766.54] Elapsed: 1d23:26:07, vertices: 1100, facets final: 7152, pending: 255685, pool: 50
I170787.37] Elapsed: 1d23:26:27, vertices: 1103, facets final: 7156, pending: 249689, pool: 50
I170798.84] Elapsed: 1d23:26:39, vertices: 1104, facets final: 7156, pending: 245521, pool: 50
I170813.93] Elapsed: 1d23:26:54, vertices: 1107, facets final: 7158, pending: 240347, pool: 48
I170825.25] Elapsed: 1d23:27:05, vertices: 1108, facets final: 7158, pending: 236836, pool: 48
I170838.29] Elapsed: 1d23:27:18, vertices: 1110, facets final: 7163, pending: 234900, pool: 50
I170851.20] Elapsed: 1d23:27:31, vertices: 1112, facets final: 7165, pending: 235800, pool: 50
I170865.56] Elapsed: 1d23:27:46, vertices: 1115, facets final: 7168, pending: 239597, pool: 48
I170877.18] Elapsed: 1d23:27:57, vertices: 1117, facets final: 7168, pending: 242527, pool: 47
I170889.24] Elapsed: 1d23:28:09, vertices: 1119, facets final: 7169, pending: 241746, pool: 47
I170908.31] Elapsed: 1d23:28:28, vertices: 1121, facets final: 7184, pending: 238851, pool: 48
I170930.56] Elapsed: 1d23:28:51, vertices: 1123, facets final: 7195, pending: 237206, pool: 49
I170941.62] Elapsed: 1d23:29:02, vertices: 1124, facets final: 7200, pending: 233801, pool: 50
I170955.12] Elapsed: 1d23:29:15, vertices: 1126, facets final: 7204, pending: 236987, pool: 50
I170967.57] Elapsed: 1d23:29:28, vertices: 1129, facets final: 7219, pending: 234967, pool: 49
I170978.10] Elapsed: 1d23:29:38, vertices: 1132, facets final: 7224, pending: 232216, pool: 49
I170993.20] Elapsed: 1d23:29:53, vertices: 1134, facets final: 7237, pending: 228459, pool: 50
I171005.11] Elapsed: 1d23:30:05, vertices: 1138, facets final: 7247, pending: 225441, pool: 47
I171016.37] Elapsed: 1d23:30:16, vertices: 1140, facets final: 7261, pending: 222099, pool: 47
I171032.07] Elapsed: 1d23:30:32, vertices: 1141, facets final: 7269, pending: 222471, pool: 49
I171052.47] Elapsed: 1d23:30:52, vertices: 1143, facets final: 7279, pending: 220375, pool: 50
I171064.84] Elapsed: 1d23:31:05, vertices: 1144, facets final: 7279, pending: 221305, pool: 50
I171075.22] Elapsed: 1d23:31:15, vertices: 1147, facets final: 7293, pending: 217547, pool: 50
I171087.98] Elapsed: 1d23:31:28, vertices: 1149, facets final: 7300, pending: 215468, pool: 49
I171099.35] Elapsed: 1d23:31:39, vertices: 1151, facets final: 7303, pending: 212922, pool: 50
I171110.22] Elapsed: 1d23:31:50, vertices: 1155, facets final: 7315, pending: 210022, pool: 47
I171128.06] Elapsed: 1d23:32:08, vertices: 1157, facets final: 7329, pending: 216379, pool: 50
I171141.64] Elapsed: 1d23:32:22, vertices: 1160, facets final: 7329, pending: 216059, pool: 50
I171154.98] Elapsed: 1d23:32:35, vertices: 1164, facets final: 7342, pending: 214154, pool: 50
I171166.53] Elapsed: 1d23:32:47, vertices: 1166, facets final: 7348, pending: 211668, pool: 50
I171184.32] Elapsed: 1d23:33:04, vertices: 1169, facets final: 7370, pending: 212418, pool: 50
I171199.03] Elapsed: 1d23:33:19, vertices: 1172, facets final: 7379, pending: 208330, pool: 50
I171215.20] Elapsed: 1d23:33:35, vertices: 1175, facets final: 7413, pending: 203721, pool: 49
I171226.91] Elapsed: 1d23:33:47, vertices: 1178, facets final: 7425, pending: 202711, pool: 50
I171237.02] Elapsed: 1d23:33:57, vertices: 1181, facets final: 7433, pending: 203013, pool: 49
I171248.36] Elapsed: 1d23:34:08, vertices: 1182, facets final: 7433, pending: 200645, pool: 49
I171269.48] Elapsed: 1d23:34:29, vertices: 1183, facets final: 7437, pending: 205016, pool: 49
I171282.46] Elapsed: 1d23:34:42, vertices: 1186, facets final: 7450, pending: 202447, pool: 49
I171304.47] Elapsed: 1d23:35:04, vertices: 1187, facets final: 7451, pending: 202571, pool: 50
I171316.26] Elapsed: 1d23:35:16, vertices: 1192, facets final: 7465, pending: 199621, pool: 50
I171330.39] Elapsed: 1d23:35:30, vertices: 1196, facets final: 7473, pending: 198649, pool: 49
I171346.96] Elapsed: 1d23:35:47, vertices: 1197, facets final: 7478, pending: 199438, pool: 49
I171357.04] Elapsed: 1d23:35:57, vertices: 1199, facets final: 7485, pending: 200307, pool: 48
I171357.06] recalculating facets...
I171368.73] Elapsed: 1d23:36:09, vertices: 1204, facets final: 7505, pending: 198390, pool: 46
I171384.89] Elapsed: 1d23:36:25, vertices: 1207, facets final: 7523, pending: 197080, pool: 50
I171395.05] Elapsed: 1d23:36:35, vertices: 1210, facets final: 7534, pending: 196239, pool: 50
I171405.28] Elapsed: 1d23:36:45, vertices: 1215, facets final: 7560, pending: 196117, pool: 47
I171415.56] Elapsed: 1d23:36:56, vertices: 1220, facets final: 7577, pending: 192954, pool: 45
I171433.35] Elapsed: 1d23:37:13, vertices: 1222, facets final: 7596, pending: 187888, pool: 49
I171443.86] Elapsed: 1d23:37:24, vertices: 1225, facets final: 7620, pending: 184372, pool: 50
I171455.66] Elapsed: 1d23:37:36, vertices: 1228, facets final: 7640, pending: 186332, pool: 49
I171467.38] Elapsed: 1d23:37:47, vertices: 1233, facets final: 7681, pending: 185357, pool: 46
I171483.53] Elapsed: 1d23:38:04, vertices: 1238, facets final: 7727, pending: 181407, pool: 46
I171493.72] Elapsed: 1d23:38:14, vertices: 1241, facets final: 7750, pending: 177518, pool: 47
