C copy string: rs=cd:ab;tu=cr:ab;vw=(ru)t:ad
C MOLP problem=10-707-9472-b.vlp, minimize
C rows=707, columns=9472, objectives=10
I  638.79] Elapsed: 10:39, vertices: 58, facets final: 117, pending: 114
I  644.34] Elapsed: 10:44, vertices: 58, facets final: 119, pending: 112
I  650.83] Elapsed: 10:51, vertices: 58, facets final: 121, pending: 110
I  661.29] Elapsed: 11:01, vertices: 58, facets final: 123, pending: 108
I  667.49] Elapsed: 11:07, vertices: 59, facets final: 124, pending: 111
I  674.08] Elapsed: 11:14, vertices: 59, facets final: 125, pending: 110
I  680.46] Elapsed: 11:20, vertices: 59, facets final: 127, pending: 108
I  686.70] Elapsed: 11:27, vertices: 59, facets final: 128, pending: 107
I  692.22] Elapsed: 11:32, vertices: 59, facets final: 130, pending: 105
I  708.03] Elapsed: 11:48, vertices: 60, facets final: 130, pending: 109
I  714.25] Elapsed: 11:54, vertices: 61, facets final: 131, pending: 110
I  726.88] Elapsed: 12:07, vertices: 61, facets final: 133, pending: 108
I  734.14] Elapsed: 12:14, vertices: 61, facets final: 135, pending: 106
I  740.52] Elapsed: 12:21, vertices: 62, facets final: 139, pending: 104
I  749.85] Elapsed: 12:30, vertices: 62, facets final: 139, pending: 104
I  759.30] Elapsed: 12:39, vertices: 63, facets final: 140, pending: 103
I  767.06] Elapsed: 12:47, vertices: 63, facets final: 141, pending: 102
I  774.00] Elapsed: 12:54, vertices: 65, facets final: 142, pending: 101
I  780.09] Elapsed: 13:00, vertices: 66, facets final: 144, pending: 96
I  788.10] Elapsed: 13:08, vertices: 67, facets final: 147, pending: 107
I  797.20] Elapsed: 13:17, vertices: 68, facets final: 149, pending: 103
I  807.23] Elapsed: 13:27, vertices: 69, facets final: 149, pending: 115
I  817.20] Elapsed: 13:37, vertices: 71, facets final: 151, pending: 126
I  822.38] Elapsed: 13:42, vertices: 72, facets final: 152, pending: 113
I  828.30] Elapsed: 13:48, vertices: 72, facets final: 155, pending: 110
I  837.17] Elapsed: 13:57, vertices: 72, facets final: 159, pending: 106
I  844.00] Elapsed: 14:04, vertices: 72, facets final: 162, pending: 103
I  850.34] Elapsed: 14:10, vertices: 72, facets final: 164, pending: 101
I  857.10] Elapsed: 14:17, vertices: 72, facets final: 166, pending: 99
I  866.13] Elapsed: 14:26, vertices: 72, facets final: 167, pending: 98
I  874.58] Elapsed: 14:35, vertices: 72, facets final: 168, pending: 97
I  883.45] Elapsed: 14:43, vertices: 72, facets final: 170, pending: 95
I  890.99] Elapsed: 14:51, vertices: 72, facets final: 172, pending: 93
I  896.93] Elapsed: 14:57, vertices: 72, facets final: 172, pending: 93
I  903.02] Elapsed: 15:03, vertices: 73, facets final: 172, pending: 95
I  908.89] Elapsed: 15:09, vertices: 74, facets final: 172, pending: 95
I  914.35] Elapsed: 15:14, vertices: 76, facets final: 173, pending: 99
I  920.34] Elapsed: 15:20, vertices: 78, facets final: 176, pending: 104
I  928.27] Elapsed: 15:28, vertices: 79, facets final: 177, pending: 108
I  936.07] Elapsed: 15:36, vertices: 79, facets final: 179, pending: 106
I  944.35] Elapsed: 15:44, vertices: 79, facets final: 181, pending: 104
I  952.90] Elapsed: 15:53, vertices: 80, facets final: 181, pending: 110
I  960.44] Elapsed: 16:00, vertices: 81, facets final: 183, pending: 104
I  966.88] Elapsed: 16:07, vertices: 81, facets final: 186, pending: 101
I  975.31] Elapsed: 16:15, vertices: 81, facets final: 189, pending: 98
I  982.95] Elapsed: 16:23, vertices: 82, facets final: 193, pending: 101
I  988.29] Elapsed: 16:28, vertices: 82, facets final: 198, pending: 96
I  995.98] Elapsed: 16:36, vertices: 84, facets final: 201, pending: 84
I 1006.36] Elapsed: 16:46, vertices: 85, facets final: 203, pending: 89
I 1011.68] Elapsed: 16:52, vertices: 85, facets final: 207, pending: 85
I 1018.79] Elapsed: 16:59, vertices: 85, facets final: 211, pending: 81
I 1024.74] Elapsed: 17:05, vertices: 85, facets final: 214, pending: 78
I 1034.96] Elapsed: 17:15, vertices: 85, facets final: 216, pending: 76
I 1043.81] Elapsed: 17:24, vertices: 86, facets final: 217, pending: 76
I 1050.92] Elapsed: 17:31, vertices: 86, facets final: 219, pending: 74
I 1059.79] Elapsed: 17:40, vertices: 87, facets final: 221, pending: 72
I 1067.09] Elapsed: 17:47, vertices: 87, facets final: 226, pending: 67
I 1073.30] Elapsed: 17:53, vertices: 87, facets final: 228, pending: 65
I 1079.41] Elapsed: 17:59, vertices: 87, facets final: 233, pending: 60
I 1084.60] Elapsed: 18:05, vertices: 87, facets final: 237, pending: 56
I 1092.33] Elapsed: 18:12, vertices: 87, facets final: 240, pending: 53
I 1098.06] Elapsed: 18:18, vertices: 87, facets final: 242, pending: 51
I 1105.10] Elapsed: 18:25, vertices: 88, facets final: 244, pending: 47
I 1112.71] Elapsed: 18:33, vertices: 88, facets final: 246, pending: 45
I 1118.38] Elapsed: 18:38, vertices: 89, facets final: 248, pending: 41
I 1123.49] Elapsed: 18:43, vertices: 90, facets final: 252, pending: 35
I 1128.83] Elapsed: 18:49, vertices: 90, facets final: 255, pending: 32
I 1136.20] Elapsed: 18:56, vertices: 90, facets final: 257, pending: 30
I 1142.34] Elapsed: 19:02, vertices: 90, facets final: 257, pending: 30
I 1149.73] Elapsed: 19:10, vertices: 91, facets final: 259, pending: 24
I 1156.82] Elapsed: 19:17, vertices: 91, facets final: 261, pending: 22
I 1167.45] Elapsed: 19:27, vertices: 94, facets final: 266, pending: 11
I 1173.53] Elapsed: 19:34, vertices: 94, facets final: 267, pending: 10
I 1179.88] Elapsed: 19:40, vertices: 94, facets final: 268, pending: 9
I 1187.83] Elapsed: 19:48, vertices: 94, facets final: 269, pending: 8
I 1189.83] Elapsed: 19:50, vertices: 97, facets final: 271, pending: 0

--------------------------------
Problem completed
