C maximal rule for r=c:ab;s=b:adr; rs,bs,cs,ds
C MOLP problem=22-43-213-c.vlp, minimize
C rows=43, columns=213, objectives=22
I  554.83] Elapsed: 9:15, vertices: 84, facets final: 39, pending: 84936, eq: 9341, out: 19479, in: 13010, pool: 148
I  573.96] Elapsed: 9:34, vertices: 85, facets final: 39, pending: 97175, eq: 5936, out: 11616, in: 23855, pool: 148
I  601.32] Elapsed: 10:01, vertices: 86, facets final: 39, pending: 100025, eq: 6609, out: 14322, in: 17172, pool: 148
I  625.90] Elapsed: 10:26, vertices: 87, facets final: 39, pending: 104288, eq: 6576, out: 13976, in: 18239, pool: 148
I  647.44] Elapsed: 10:47, vertices: 88, facets final: 39, pending: 101808, eq: 6016, out: 11392, in: 8912, pool: 147
I  668.00] Elapsed: 11:08, vertices: 89, facets final: 40, pending: 108854, eq: 6831, out: 10455, in: 17502, pool: 147
I  689.04] Elapsed: 11:29, vertices: 90, facets final: 41, pending: 113252, eq: 7065, out: 10796, in: 15195, pool: 146
I  712.05] Elapsed: 11:52, vertices: 91, facets final: 41, pending: 118911, eq: 6373, out: 10582, in: 16241, pool: 147
I  733.44] Elapsed: 12:13, vertices: 92, facets final: 41, pending: 125189, eq: 6815, out: 10924, in: 17202, pool: 146
I  760.00] Elapsed: 12:40, vertices: 93, facets final: 42, pending: 123437, eq: 8351, out: 12363, in: 10612, pool: 147
I  783.26] Elapsed: 13:03, vertices: 94, facets final: 42, pending: 116511, eq: 6942, out: 10737, in: 3811, pool: 146
I  805.91] Elapsed: 13:26, vertices: 95, facets final: 42, pending: 126749, eq: 4316, out: 9580, in: 19818, pool: 146
I  834.17] Elapsed: 13:54, vertices: 96, facets final: 42, pending: 134327, eq: 9329, out: 11256, in: 18834, pool: 147
I  858.80] Elapsed: 14:19, vertices: 97, facets final: 42, pending: 133046, eq: 7997, out: 9966, in: 8685, pool: 147
I  882.27] Elapsed: 14:42, vertices: 98, facets final: 42, pending: 131539, eq: 7541, out: 9390, in: 7883, pool: 147
I  904.33] Elapsed: 15:04, vertices: 99, facets final: 42, pending: 125331, eq: 6123, out: 9430, in: 3222, pool: 148
I  920.79] Elapsed: 15:21, vertices: 100, facets final: 42, pending: 124298, eq: 11291, out: 7879, in: 6846, pool: 147
I  921.11] recalculating facets...
I  943.11] Elapsed: 15:43, vertices: 101, facets final: 42, pending: 122254, eq: 8942, out: 10835, in: 8791, pool: 148
I  972.20] Elapsed: 16:12, vertices: 102, facets final: 42, pending: 116762, eq: 10804, out: 13843, in: 8351, pool: 148
I  991.35] Elapsed: 16:31, vertices: 103, facets final: 42, pending: 113090, eq: 8629, out: 8003, in: 4331, pool: 148
I 1014.77] Elapsed: 16:55, vertices: 104, facets final: 42, pending: 114430, eq: 6168, out: 10974, in: 12314, pool: 149
I 1037.37] Elapsed: 17:17, vertices: 105, facets final: 42, pending: 108304, eq: 8490, out: 10384, in: 4258, pool: 149
I 1058.78] Elapsed: 17:39, vertices: 106, facets final: 42, pending: 107359, eq: 6394, out: 9363, in: 8418, pool: 149
I 1076.19] Elapsed: 17:56, vertices: 107, facets final: 42, pending: 105601, eq: 4672, out: 7786, in: 6028, pool: 149
I 1092.51] Elapsed: 18:13, vertices: 108, facets final: 42, pending: 114066, eq: 3712, out: 7271, in: 15736, pool: 148
I 1111.22] Elapsed: 18:31, vertices: 109, facets final: 43, pending: 117259, eq: 5002, out: 7776, in: 10970, pool: 149
I 1132.17] Elapsed: 18:52, vertices: 110, facets final: 43, pending: 131196, eq: 2838, out: 7517, in: 21454, pool: 149
I 1160.80] Elapsed: 19:21, vertices: 111, facets final: 43, pending: 135677, eq: 5736, out: 9625, in: 14106, pool: 149
I 1191.33] Elapsed: 19:51, vertices: 112, facets final: 43, pending: 141283, eq: 6154, out: 10453, in: 16059, pool: 149
I 1221.75] Elapsed: 20:22, vertices: 113, facets final: 43, pending: 135657, eq: 7955, out: 10228, in: 4602, pool: 149
I 1248.07] Elapsed: 20:48, vertices: 114, facets final: 43, pending: 134378, eq: 5123, out: 8740, in: 7461, pool: 148
I 1275.82] Elapsed: 21:16, vertices: 115, facets final: 43, pending: 137258, eq: 6364, out: 10517, in: 13397, pool: 148
I 1298.69] Elapsed: 21:39, vertices: 116, facets final: 43, pending: 134856, eq: 9689, out: 8416, in: 6014, pool: 148
I 1322.21] Elapsed: 22:02, vertices: 117, facets final: 43, pending: 135494, eq: 5183, out: 8192, in: 8830, pool: 148
I 1343.03] Elapsed: 22:23, vertices: 118, facets final: 43, pending: 131449, eq: 9544, out: 7470, in: 3425, pool: 147
I 1368.26] Elapsed: 22:48, vertices: 119, facets final: 44, pending: 132884, eq: 4551, out: 8005, in: 9441, pool: 147
I 1390.29] Elapsed: 23:10, vertices: 120, facets final: 45, pending: 141254, eq: 4350, out: 7085, in: 15456, pool: 147
I 1412.16] Elapsed: 23:32, vertices: 121, facets final: 45, pending: 137275, eq: 4444, out: 6876, in: 2897, pool: 148
I 1434.30] Elapsed: 23:54, vertices: 122, facets final: 45, pending: 140489, eq: 2810, out: 6354, in: 9568, pool: 147
I 1511.39] Elapsed: 25:11, vertices: 123, facets final: 45, pending: 131865, eq: 6771, out: 33083, in: 24459, pool: 149
I 1536.52] Elapsed: 25:37, vertices: 124, facets final: 45, pending: 135130, eq: 4212, out: 8529, in: 11794, pool: 148
I 1559.47] Elapsed: 25:59, vertices: 125, facets final: 46, pending: 134514, eq: 3926, out: 7067, in: 6452, pool: 149
I 1580.18] Elapsed: 26:20, vertices: 126, facets final: 46, pending: 134808, eq: 5377, out: 6654, in: 6948, pool: 148
I 1600.13] Elapsed: 26:40, vertices: 127, facets final: 46, pending: 134029, eq: 4776, out: 6735, in: 5956, pool: 148
I 1625.66] Elapsed: 27:06, vertices: 128, facets final: 46, pending: 137904, eq: 2582, out: 8366, in: 12241, pool: 148
I 1643.89] Elapsed: 27:24, vertices: 129, facets final: 47, pending: 135454, eq: 5040, out: 6444, in: 3995, pool: 149
I 1661.40] Elapsed: 27:41, vertices: 130, facets final: 47, pending: 133346, eq: 3171, out: 6351, in: 4243, pool: 149
I 1681.27] Elapsed: 28:01, vertices: 131, facets final: 47, pending: 147822, eq: 4914, out: 6298, in: 20774, pool: 149
I 1726.19] Elapsed: 28:46, vertices: 132, facets final: 47, pending: 145313, eq: 4273, out: 14250, in: 11741, pool: 150
I 1764.22] Elapsed: 29:24, vertices: 133, facets final: 47, pending: 152063, eq: 6004, out: 10664, in: 17414, pool: 149
I 1795.32] Elapsed: 29:55, vertices: 134, facets final: 47, pending: 147709, eq: 6876, out: 9886, in: 5532, pool: 150
I 1825.16] Elapsed: 30:25, vertices: 135, facets final: 47, pending: 146582, eq: 5190, out: 9068, in: 7941, pool: 149
I 1868.47] Elapsed: 31:08, vertices: 136, facets final: 47, pending: 137967, eq: 9875, out: 14088, in: 5473, pool: 150
I 1890.11] Elapsed: 31:30, vertices: 137, facets final: 47, pending: 135003, eq: 5053, out: 7702, in: 4738, pool: 149
I 1913.02] Elapsed: 31:53, vertices: 138, facets final: 47, pending: 134610, eq: 4756, out: 7236, in: 6843, pool: 149
I 1933.28] Elapsed: 32:13, vertices: 139, facets final: 47, pending: 142468, eq: 5635, out: 6147, in: 14005, pool: 149
I 1959.76] Elapsed: 32:40, vertices: 140, facets final: 47, pending: 270123, eq: 5165, out: 6877, in: 134532, pool: 148
I 2030.45] Elapsed: 33:50, vertices: 141, facets final: 47, pending: 262337, eq: 10107, out: 11872, in: 4086, pool: 148
I 2261.21] Elapsed: 37:41, vertices: 142, facets final: 47, pending: 279859, eq: 21184, out: 33592, in: 51114, pool: 149
I 2486.09] Elapsed: 41:26, vertices: 143, facets final: 47, pending: 291467, eq: 21722, out: 32456, in: 44064, pool: 149
I 2591.41] Elapsed: 43:11, vertices: 144, facets final: 47, pending: 299490, eq: 9041, out: 14394, in: 22417, pool: 148
I 2770.53] Elapsed: 46:11, vertices: 145, facets final: 48, pending: 279023, eq: 15114, out: 32620, in: 12154, pool: 149
I 2875.92] Elapsed: 47:56, vertices: 146, facets final: 48, pending: 303739, eq: 11297, out: 13882, in: 38598, pool: 148
I 3177.01] Elapsed: 52:57, vertices: 147, facets final: 48, pending: 273052, eq: 24843, out: 49988, in: 19301, pool: 149
I 3306.44] Elapsed: 55:06, vertices: 148, facets final: 48, pending: 273331, eq: 12444, out: 19796, in: 20075, pool: 149
I 3433.08] Elapsed: 57:13, vertices: 149, facets final: 48, pending: 286446, eq: 10561, out: 16899, in: 30014, pool: 148
I 3544.59] Elapsed: 59:05, vertices: 150, facets final: 48, pending: 272718, eq: 12117, out: 16424, in: 2696, pool: 147
I 3674.49] Elapsed: 1:01:14, vertices: 151, facets final: 48, pending: 260099, eq: 11613, out: 19935, in: 7316, pool: 149
I 3758.63] Elapsed: 1:02:39, vertices: 152, facets final: 48, pending: 260973, eq: 11790, out: 12763, in: 13637, pool: 149
I 3846.61] Elapsed: 1:04:07, vertices: 153, facets final: 48, pending: 266727, eq: 6790, out: 12284, in: 18038, pool: 148
I 3924.56] Elapsed: 1:05:25, vertices: 154, facets final: 48, pending: 262124, eq: 12431, out: 12895, in: 8292, pool: 147
I 3984.55] Elapsed: 1:06:25, vertices: 155, facets final: 50, pending: 257208, eq: 6640, out: 11410, in: 6496, pool: 148
I 4102.41] Elapsed: 1:08:22, vertices: 156, facets final: 50, pending: 259728, eq: 7666, out: 15795, in: 18315, pool: 148
I 4225.70] Elapsed: 1:10:26, vertices: 157, facets final: 50, pending: 264749, eq: 10055, out: 18653, in: 23674, pool: 149
I 4323.15] Elapsed: 1:12:03, vertices: 158, facets final: 50, pending: 264033, eq: 9993, out: 15160, in: 14444, pool: 149
I 4432.69] Elapsed: 1:13:53, vertices: 159, facets final: 50, pending: 265678, eq: 8768, out: 17208, in: 18853, pool: 149
I 4516.77] Elapsed: 1:15:17, vertices: 160, facets final: 50, pending: 272985, eq: 5693, out: 11379, in: 18686, pool: 148
I 4603.01] Elapsed: 1:16:43, vertices: 161, facets final: 50, pending: 268824, eq: 6751, out: 12650, in: 8489, pool: 148
I 4677.53] Elapsed: 1:17:58, vertices: 162, facets final: 50, pending: 282505, eq: 6364, out: 11505, in: 25186, pool: 149
